Agriculture,Animal/Pets,Beauty/Fashion,Business Services,Children/Education,Electronics,Entertainment,Fitness/Sports/Outdoors,Food And Beverage,Green/Cleantech,Hardware,Lifestyle/Home,Liquor/Alcohol,Manufacturing,Medical/Health,Others,Technology/Software,Vehicles/Electrical Vehicles,Pitchers Average Age,Yearly Revenue,Gross Margin,Net Margin,EBITDA,Has Patents,Bootstrapped,SKUs,Original Ask Amount,Original Offered Equity,Deal Valuation,Company Age
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,-2.1840936578002252,-0.292690587709301,0.03234231729856389,-0.8145650930125853,1,0,-0.7939674376352235,-0.6200743731796271,0.6309249077094473,6.504288173536645,-1.6569825652446528
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,-0.00014123269724879479,-1.8537070554922397,0.03234231729856389,0.17583742019328852,0,0,0.15900613818327788,-0.44411732020127587,2.3185299459731357,5.5254529391317835,2.1638124837477113
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.110443450613283,-0.09756352923643367,0.03234231729856389,0.17583742019328852,0,0,0.15900613818327788,0.721085413385939,-0.38163811524876573,7.824445930877619,-1.2324497820232792
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.36174127349553276,-0.09756352923643367,0.03234231729856389,0.17583742019328852,0,0,0.15900613818327788,-4.093509408049281,2.3185299459731357,3.9318256327243257,-0.3833842155805315
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,-0.29542581223144426,-0.292690587709301,0.03234231729856389,-0.8145650930125853,0,0,-0.7939674376352235,-0.44411732020127587,-0.21287761142239692,7.601402334583733,-1.2324497820232792
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,-2.1840936578002252,0.9431141159521922,0.03234231729856389,-0.3193638364096484,0,0,-0.9698178453464723,-0.254447505472751,1.4747274268412915,5.1298987149230735,-1.6569825652446528
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,-2.1840936578002252,2.56917293655942,0.03234231729856389,0.2308597820380593,1,0,0.15900613818327788,-1.2930665966454171,-0.04411710759602807,6.2166061010848646,-0.3833842155805315
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0.33959567555207326,-0.3577329405335901,-0.263458768480735,-0.49543539431291483,0,0,1.532949479433613,-0.44411732020127587,0.6309249077094473,6.5722825426940075,-0.8079169988019053
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0.4379365976365555,-0.3577329405335901,-0.263458768480735,-0.49543539431291483,0,0,1.532949479433613,-0.44411732020127587,-0.21287761142239692,6.2166061010848646,-1.2324497820232792
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-2.1840936578002252,0.9431141159521922,-0.5592598542600339,0.010770334658976213,0,0,0.15900613818327788,-1.5930077935428686,0.6309249077094473,4.836281906951478,-1.6569825652446528
